Month,Version,Operating System,Downloads
2021-05,11,,597200
2021-06,11,,504687
2021-07,11,,419474
2021-08,11,,411865
2021-09,11,,394818
2021-10,11,,393464
2021-11,11,,421432
2021-12,11,,385828
2022-01,11,,360398
2022-02,11,,339648
2022-03,11,,333666
2022-04,11,,293864
2022-05,11,,284320
2022-06,11,,264283
2022-07,11,,271862
2022-08,11,,286003
2022-09,11,,260140
2022-10,11,,249740
2022-11,11,,261624
2022-12,11,,212328
2023-01,11,,216076
2023-02,11,,202152
2023-03,11,,217447
2023-04,11,,170933
2023-05,11,,173226
2023-06,11,,158891
2023-07,11,,155165
2023-08,11,,156079
2023-09,11,,154636
2023-10,11,,160768
2023-11,11,,151685
2023-12,11,,130561
2024-01,11,,153960
2024-02,11,,156581
2024-03,11,,185009
2024-04,11,,138542
2024-05,11,,124248
2024-06,11,,121777
2024-07,11,,116893
2024-08,11,,108886
2024-09,11,,110538
2024-10,11,,120520
2024-11,11,,696063
2024-12,11,,1089678
2025-01,11,,254944
2025-02,11,,220630
2025-03,11,,283407
2025-04,11,,301073
2025-05,11,,260120
2025-06,11,,400009
2025-07,11,,295071
2025-08,11,,212247
2021-02,12,,22028855
2021-03,12,,24489958
2021-04,12,,21347001
2021-05,12,,20821315
2021-06,12,,19621464
2021-07,12,,18268126
2021-08,12,,19750660
2021-09,12,,18728030
2021-10,12,,17897281
2021-11,12,,15554737
2021-12,12,,14163737
2022-01,12,,14513361
2022-02,12,,13869907
2022-03,12,,15041487
2022-04,12,,13010727
2022-05,12,,13225617
2022-06,12,,12523872
2022-07,12,,9943911
2022-08,12,,9994156
2022-09,12,,8884796
2022-10,12,,8619935
2022-11,12,,9451160
2022-12,12,,8855023
2023-01,12,,8045544
2023-02,12,,7838632
2023-03,12,,7509562
2023-04,12,,5169900
2023-05,12,,5102112
2023-06,12,,4560505
2023-07,12,,4294750
2023-08,12,,4253336
2023-09,12,,3748992
2023-10,12,,3734657
2023-11,12,,3610405
2023-12,12,,2991793
2024-01,12,,3148500
2024-02,12,,3087317
2024-03,12,,3142098
2024-04,12,,3298145
2024-05,12,,2852288
2024-06,12,,2475786
2024-07,12,,2551668
2024-08,12,,2348345
2024-09,12,,2238930
2024-10,12,,2381958
2024-11,12,,4971733
2024-12,12,,6197816
2025-01,12,,3813126
2025-02,12,,3235113
2025-03,12,,4942682
2025-04,12,,6609932
2025-05,12,,22709454
2025-06,12,,115601921
2025-07,12,,9895147
2025-08,12,,3812957
2021-02,13,,959961
2021-03,13,,1090362
2021-04,13,,937088
2021-05,13,,944140
2021-06,13,,863230
2021-07,13,,794640
2021-08,13,,790047
2021-09,13,,797258
2021-10,13,,783943
2021-11,13,,748461
2021-12,13,,645099
2022-01,13,,574491
2022-02,13,,527951
2022-03,13,,571655
2022-04,13,,534663
2022-05,13,,513911
2022-06,13,,459788
2022-07,13,,495991
2022-08,13,,541722
2022-09,13,,573672
2022-10,13,,551592
2022-11,13,,571983
2022-12,13,,454496
2023-01,13,,427151
2023-02,13,,417784
2023-03,13,,440317
2023-04,13,,336258
2023-05,13,,241343
2023-06,13,,212072
2023-07,13,,210904
2023-08,13,,214415
2023-09,13,,197920
2023-10,13,,183726
2023-11,13,,171961
2023-12,13,,151194
2024-01,13,,167005
2024-02,13,,164549
2024-03,13,,218781
2024-04,13,,220602
2024-05,13,,233504
2024-06,13,,212967
2024-07,13,,218594
2024-08,13,,190634
2024-09,13,,195468
2024-10,13,,252978
2024-11,13,,881865
2024-12,13,,1209190
2025-01,13,,299448
2025-02,13,,276062
2025-03,13,,351785
2025-04,13,,354453
2025-05,13,,419700
2025-06,13,,1072658
2025-07,13,,539185
2025-08,13,,340783
2021-02,14,,37600415
2021-03,14,,20475377
2021-04,14,,18435286
2021-05,14,,20379353
2021-06,14,,22684243
2021-07,14,,23984774
2021-08,14,,25997958
2021-09,14,,27778954
2021-10,14,,28280522
2021-11,14,,24278632
2021-12,14,,19719093
2022-01,14,,23295915
2022-02,14,,23126161
2022-03,14,,24965618
2022-04,14,,21946476
2022-05,14,,24870688
2022-06,14,,26175248
2022-07,14,,25461609
2022-08,14,,24956528
2022-09,14,,24311630
2022-10,14,,24734484
2022-11,14,,26822866
2022-12,14,,20721278
2023-01,14,,22152362
2023-02,14,,21211061
2023-03,14,,22680030
2023-04,14,,30259782
2023-05,14,,31551681
2023-06,14,,29603348
2023-07,14,,23494667
2023-08,14,,25882554
2023-09,14,,20265032
2023-10,14,,18998474
2023-11,14,,16064578
2023-12,14,,14798389
2024-01,14,,10378277
2024-02,14,,8996339
2024-03,14,,8918262
2024-04,14,,7540841
2024-05,14,,7135408
2024-06,14,,6144763
2024-07,14,,6711960
2024-08,14,,5865233
2024-09,14,,5350201
2024-10,14,,5339420
2024-11,14,,8984939
2024-12,14,,10322834
2025-01,14,,8714907
2025-02,14,,7681144
2025-03,14,,9874680
2025-04,14,,10798664
2025-05,14,,12587877
2025-06,14,,22751435
2025-07,14,,11836868
2025-08,14,,7741759
2021-02,15,,3751566
2021-03,15,,4703976
2021-04,15,,4189700
2021-05,15,,3762409
2021-06,15,,3493384
2021-07,15,,2994893
2021-08,15,,2830099
2021-09,15,,2482342
2021-10,15,,2275388
2021-11,15,,2189767
2021-12,15,,1788047
2022-01,15,,1672019
2022-02,15,,1499164
2022-03,15,,1534941
2022-04,15,,1359177
2022-05,15,,1342889
2022-06,15,,1334428
2022-07,15,,1256209
2022-08,15,,1321630
2022-09,15,,1416621
2022-10,15,,1378557
2022-11,15,,1298602
2022-12,15,,1072952
2023-01,15,,1066986
2023-02,15,,964083
2023-03,15,,1076502
2023-04,15,,1048115
2023-05,15,,1126257
2023-06,15,,845233
2023-07,15,,823502
2023-08,15,,874036
2023-09,15,,818822
2023-10,15,,756542
2023-11,15,,686186
2023-12,15,,509334
2024-01,15,,471629
2024-02,15,,441601
2024-03,15,,443428
2024-04,15,,434879
2024-05,15,,423707
2024-06,15,,389255
2024-07,15,,375852
2024-08,15,,352771
2024-09,15,,355806
2024-10,15,,315479
2024-11,15,,952237
2024-12,15,,1333090
2025-01,15,,511946
2025-02,15,,559793
2025-03,15,,650461
2025-04,15,,767488
2025-05,15,,1087612
2025-06,15,,2340350
2025-07,15,,898424
2025-08,15,,495283
2021-04,16,,790835
2021-05,16,,3095069
2021-06,16,,3784192
2021-07,16,,3933523
2021-08,16,,4970380
2021-09,16,,5984958
2021-10,16,,7115736
2021-11,16,,11822820
2021-12,16,,14671562
2022-01,16,,18037623
2022-02,16,,20115767
2022-03,16,,26868074
2022-04,16,,26331242
2022-05,16,,29964854
2022-06,16,,34152666
2022-07,16,,36402539
2022-08,16,,42754842
2022-09,16,,42598500
2022-10,16,,46680597
2022-11,16,,47226946
2022-12,16,,38380352
2023-01,16,,43269927
2023-02,16,,46156244
2023-03,16,,62287769
2023-04,16,,45309674
2023-05,16,,47531703
2023-06,16,,43572248
2023-07,16,,42295481
2023-08,16,,47196740
2023-09,16,,46208205
2023-10,16,,39214539
2023-11,16,,39505813
2023-12,16,,27178051
2024-01,16,,28815029
